DATE,LAST_PRICE,LAST_PRICE,NEXT_PRICE,NEXT_RETURN,TARGET_LABEL,PREDICTED_LABEL,CORRECT
2018-09-09,1952.07,1952.07,1939.01,-0.0066903338507327,don't buy,maybe buy,False
2018-09-10,1939.01,1939.01,1987.15,0.0248271024904462,must buy,maybe buy,False
2018-09-11,1987.15,1987.15,1990.0,0.0014342148302845,maybe buy,maybe buy,True
2018-09-12,1990.0,1990.0,1989.87,-6.532663316588399e-05,don't buy,maybe buy,False
2018-09-13,1989.87,1989.87,1970.19,-0.0098900933226792,don't buy,maybe buy,False
2018-09-14,1970.19,1970.19,1970.19,0.0,maybe buy,maybe buy,True
2018-09-15,1970.19,1970.19,1970.19,0.0,maybe buy,maybe buy,True
2018-09-16,1970.19,1970.19,1908.03,-0.031550256574239,definitely don't buy,maybe buy,False
2018-09-17,1908.03,1908.03,1941.05,0.0173058075606777,maybe buy,don't buy,False
2018-09-18,1941.05,1941.05,1926.42,-0.0075371577239122,don't buy,maybe buy,False
2018-09-19,1926.42,1926.42,1944.3,0.0092814651010682,maybe buy,maybe buy,True
2018-09-20,1944.3,1944.3,1915.01,-0.0150645476521112,don't buy,maybe buy,False
2018-09-21,1915.01,1915.01,1915.01,0.0,maybe buy,don't buy,False
2018-09-22,1915.01,1915.01,1915.01,0.0,maybe buy,maybe buy,True
2018-09-23,1915.01,1915.01,1934.36,0.0101043858778804,maybe buy,don't buy,False
2018-09-24,1934.36,1934.36,1974.55,0.020776897785314,must buy,maybe buy,False
2018-09-25,1974.55,1974.55,1974.85,0.0001519333519029,maybe buy,don't buy,False
2018-09-26,1974.85,1974.85,2012.98,0.0193077955287743,maybe buy,maybe buy,True
2018-09-27,2012.98,2012.98,2003.0,-0.004957823724031,don't buy,maybe buy,False
2018-09-28,2003.0,2003.0,2003.0,0.0,maybe buy,maybe buy,True
2018-09-29,2003.0,2003.0,2003.0,0.0,maybe buy,maybe buy,True
2018-09-30,2003.0,2003.0,2004.36,0.0006789815277083,maybe buy,maybe buy,True
2018-10-01,2004.36,2004.36,1971.31,-0.0164890538625795,don't buy,maybe buy,False
2018-10-02,1971.31,1971.31,1770.72,-0.1017546707519364,definitely don't buy,maybe buy,False
2018-10-18,1770.72,1770.72,1764.03,-0.0037781241528869,don't buy,don't buy,True
2018-10-19,1764.03,1764.03,1764.03,0.0,maybe buy,don't buy,False
2018-10-20,1764.03,1764.03,1764.03,0.0,maybe buy,don't buy,False
2018-10-21,1764.03,1764.03,1789.3,0.0143251532003423,maybe buy,must buy,False
2018-10-22,1789.3,1789.3,1768.7,-0.0115128821326775,don't buy,don't buy,True
2018-10-23,1768.7,1768.7,1664.2,-0.0590829422739865,definitely don't buy,maybe buy,False
2018-10-24,1664.2,1664.2,1782.17,0.0708869126306934,must buy,don't buy,False
2018-10-25,1782.17,1782.17,1642.81,-0.0781968050186009,definitely don't buy,don't buy,False
2018-10-27,1642.81,1642.81,1642.81,0.0,maybe buy,maybe buy,True
2018-10-28,1642.81,1642.81,1538.88,-0.0632635545193904,definitely don't buy,maybe buy,False
2018-10-29,1538.88,1538.88,1530.42,-0.0054975046787274,don't buy,don't buy,True
2018-10-30,1530.42,1530.42,1598.01,0.0441643470419884,must buy,don't buy,False
